HeatNo|QualNo|CustID|CustVer|InternalVer|Cr_Final|Ni_Final|Mo_Final|V_Final|W_Final|TotalIngotsWeight|Last_EOP|Cr_Last_EOP|Ni_Last_EOP|Mo_Last_EOP|V_Last_EOP|W_Last_EOP
73626|834|79|2|1|11.61|0.14|0.74|0.95|0.02|50700.0|2.0|10.99|0.13|0.07|0.03|0.01
73627|834|79|2|1|11.81|0.11|0.74|0.93|0.02|47380.0|2.0|13.99|0.12|0.05|0.04|0.01
73636|834|99|2|1|11.5|0.21|0.76|0.76|0.11|46800.0|2.0|10.39|0.2|0.45|0.32|0.1
73637|834|99|2|6|11.39|0.23|0.75|0.94|0.19|47380.0|2.0|10.4|0.22|0.51|0.31|0.18
73642|834|57|2|2|11.35|0.22|0.74|0.84|0.14|43410.0|2.0|10.94|0.21|0.4|0.28|0.12
73647|834|99|2|1|11.2|0.19|0.71|0.73|0.13|46800.0|2.0|9.98|0.18|0.45|0.29|0.12
73648|834|57|2|1|11.1|0.19|0.71|0.74|0.13|47380.0|2.0|10.26|0.18|0.47|0.33|0.11
73657|834|57|2|1|11.35|0.2|0.72|0.77|0.08|48100.0|2.0|9.98|0.19|0.4|0.26|0.06
73658|834|99|2|1|11.2|0.19|0.73|0.77|0.1|45320.0|2.0|10.44|0.18|0.45|0.31|0.08
73670|834|57|2|2|11.13|0.2|0.72|0.73|0.1|44530.0|2.0|11.84|0.2|0.43|0.34|0.09
73681|834|57|2|3|11.31|0.22|0.75|0.94|0.1|48410.0|2.0|11.08|0.22|0.34|0.24|0.08
73684|834|57|2|2|11.5|0.17|0.73|0.75|0.06|45210.0|2.0|10.89|0.16|0.35|0.26|0.04
73703|834|91|2|2|11.7|0.16|0.75|0.95|0.08|49430.0|2.0|11.55|0.14|0.35|0.26|0.07
73713|834|93|2|2|11.26|0.23|0.71|0.63|0.08|43800.0|2.0|10.79|0.22|0.38|0.31|0.07
73719|834|57|2|2|11.35|0.15|0.72|0.75|0.08|51020.0|2.0|9.94|0.14|0.37|0.26|0.07
73769|834|79|2|1|11.57|0.16|0.73|0.93|0.01|47360.0|3.0|10.95|0.14|0.64|0.03|0.01
73779|834|79|2|1|11.7|0.14|0.74|0.93|0.01|47360.0|2.0|12.53|0.13|0.61|0.05|0.01
73780|834|79|2|1|11.75|0.11|0.74|0.95|0.01|46920.0|2.0|12.26|0.1|0.61|0.04|0.01
73788|834|99|2|1|11.37|0.22|0.74|0.77|0.09|46800.0|2.0|10.57|0.23|0.51|0.34|0.07
73789|834|99|2|1|11.39|0.19|0.72|0.76|0.12|46920.0|2.0|10.99|0.19|0.55|0.41|0.11
73805|834|57|2|5|11.5|0.18|0.72|0.92|0.1|51700.0|2.0|10.05|0.17|0.56|0.33|0.08
73811|834|79|2|1|11.74|0.12|0.75|0.96|0.01|49400.0|2.0|14.23|0.11|0.59|0.04|0.01
73812|834|65|3|1|11.3|0.18|0.72|0.74|0.08|47380.0|2.0|10.73|0.16|0.56|0.39|0.06
73819|834|99|2|1|11.5|0.23|0.74|0.76|0.11|49440.0|2.0|10.17|0.22|0.52|0.36|0.08
73820|834|99|2|1|11.39|0.21|0.73|0.76|0.12|48410.0|2.0|11.37|0.14|0.58|0.03|0.01
73845|834|57|2|2|11.39|0.2|0.73|0.81|0.13|42240.0|2.0|10.67|0.19|0.69|0.5|0.09
73853|834|76|2|1|11.75|0.09|0.91|0.31|0.02|48410.0|2.0|12.14|0.08|0.69|0.05|0.01
73854|834|79|2|1|11.7|0.11|0.74|0.95|0.02|48410.0|2.0|11.91|0.1|0.61|0.04|0.01
73863|834|79|2|1|11.84|0.11|0.76|0.97|0.01|46350.0|2.0|11.66|0.11|0.59|0.04|0.01
73871|834|79|2|1|11.61|0.16|0.71|0.91|0.13|49400.0|2.0|10.86|0.16|0.43|0.3|0.11
73872|834|79|2|1|11.71|0.24|0.73|0.93|0.11|49440.0|2.0|10.62|0.25|0.45|0.3|0.09
73875|834|79|2|1|11.58|0.16|0.73|0.94|0.09|48410.0|2.0|11.19|0.16|0.43|0.3|0.07
73876|834|57|2|2|11.3|0.2|0.71|0.73|0.12|46960.0|2.0|10.35|0.2|0.72|0.52|0.09
73884|834|93|2|2|11.42|0.19|0.73|0.66|0.1|47960.0|2.0|11.36|0.16|0.44|0.31|0.08
73885|834|99|2|1|11.41|0.2|0.72|0.76|0.08|48410.0|2.0|10.15|0.17|0.37|0.26|0.05
73886|834|79|2|1|11.63|0.16|0.73|0.93|0.07|50700.0|2.0|11.17|0.15|0.39|0.32|0.05
73888|834|99|2|2|11.23|0.16|0.73|0.73|0.09|42960.0|2.0|10.81|0.15|0.47|0.37|0.05
73893|834|79|2|1|11.53|0.2|0.78|0.93|0.02|52000.0|3.0|12.28|0.2|0.55|0.04|0.01
73894|834|79|2|1|11.53|0.17|0.73|0.91|0.02|46350.0|3.0|11.37|0.16|0.66|0.04|0.01
73912|834|99|2|6|11.21|0.19|0.74|0.93|0.06|50700.0|3.0|9.99|0.2|0.58|0.26|0.04
73913|834|99|2|1|11.31|0.15|0.73|0.72|0.07|49440.0|2.0|11.28|0.15|0.66|0.26|0.06
73923|834|79|2|1|11.56|0.12|0.74|0.92|0.02|51000.0|2.0|10.01|0.12|0.08|0.03|0.01
73924|834|79|2|1|11.61|0.13|0.72|0.94|0.02|46800.0|3.0|11.65|0.13|0.08|0.03|0.01
73938|834|79|2|2|11.73|0.11|0.75|0.95|0.03|47610.0|2.0|11.36|0.1|0.58|0.04|0.01
73945|834|93|2|2|11.34|0.17|0.74|0.68|0.02|47640.0|3.0|13.04|0.15|0.54|0.03|0.01
73946|834|79|2|1|11.71|0.11|0.74|0.96|0.01|48100.0|3.0|12.53|0.1|0.54|0.03|0.01
73947|834|99|2|1|11.22|0.16|0.74|0.76|0.03|45320.0|2.0|10.4|0.14|0.49|0.36|0.02
73965|834|93|2|2|11.27|0.23|0.75|0.66|0.05|43800.0|2.0|10.0|0.22|0.57|0.34|0.03
73966|834|99|2|1|11.3|0.2|0.72|0.75|0.04|48100.0|2.0|10.39|0.18|0.61|0.39|0.02
73967|834|99|2|1|11.36|0.19|0.75|0.76|0.09|47380.0|2.0|10.37|0.17|0.68|0.37|0.07
73989|834|57|2|5|11.29|0.21|0.73|0.92|0.07|40940.0|2.0|10.42|0.2|0.68|0.28|0.06
73994|834|79|2|1|11.53|0.14|0.74|0.94|0.05|49440.0|2.0|11.03|0.14|0.44|0.27|0.04
73996|834|57|2|2|11.26|0.16|0.73|0.73|0.08|46200.0|2.0|10.42|0.16|0.69|0.31|0.06
74003|834|79|2|1|11.56|0.11|0.72|0.9|0.01|48410.0|2.0|13.99|0.11|0.59|0.06|0.01
74005|834|79|2|1|11.77|0.1|0.76|0.95|0.06|48410.0|3.0|11.63|0.09|0.61|0.07|0.04
74023|834|93|2|2|11.23|0.24|0.73|0.64|0.07|45040.0|2.0|10.19|0.25|0.68|0.32|0.05
74044|834|57|2|2|11.39|0.2|0.81|0.78|0.06|48250.0|2.0|11.16|0.19|0.42|0.24|0.02
74074|834|57|2|2|11.34|0.2|0.78|0.8|0.12|43060.0|2.0|9.82|0.19|0.59|0.39|0.1
74075|834|99|2|2|11.35|0.2|0.74|0.77|0.13|46350.0|2.0|10.49|0.19|0.69|0.49|0.11
74079|834|93|2|2|11.34|0.17|0.74|0.66|0.09|48420.0|3.0|10.86|0.17|0.65|0.29|0.08
74083|834|79|2|1|11.56|0.14|0.74|0.94|0.02|46350.0|2.0|11.3|0.13|0.58|0.04|0.01
74089|834|99|2|1|11.32|0.17|0.73|0.74|0.11|48410.0|2.0|10.85|0.16|0.67|0.32|0.09
74090|834|99|2|1|11.33|0.2|0.84|0.76|0.07|44290.0|2.0|10.61|0.2|0.52|0.33|0.05
74094|834|79|2|3|11.68|0.14|0.74|0.94|0.02|45240.0|3.0|12.4|0.11|0.93|0.05|0.01
74101|834|99|2|1|11.25|0.18|0.78|0.73|0.06|46800.0|2.0|10.9|0.16|0.53|0.37|0.04
74119|834|57|2|2|11.44|0.19|0.75|0.76|0.04|43800.0|2.0|10.44|0.18|0.46|0.35|0.02
74121|834|99|2|1|11.24|0.19|0.73|0.76|0.08|49400.0|2.0|10.23|0.17|0.44|0.27|0.06
74132|834|93|2|3|12.22|0.18|0.94|0.65|0.05|49400.0|2.0|10.87|0.17|0.28|0.19|0.03
74134|834|93|2|2|11.46|0.18|0.73|0.64|0.04|48420.0|2.0|10.86|0.17|0.37|0.25|0.02
